nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,duration,i_open,considerations,applications,score_0,score_1,score_2,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2
225335,882.3526060606061,.46000001,2017,-.28,4.029999986290932,.80000001,.5,2,2,3,0,2,1,7.9299998,8.0799999,8.0200005,0,1,1,1,1,0,1,0,0,0,1,3.75,3.9890938,3.75,2.75,1,1,0
225872,735.3796412556054,.37,2017,-.16,4.159999996423721,.85000002,.5,2,2,4,1,2,2,6.79,6.0300002,5.4400001,0,1,0,1,0,1,1,0,0,0,1,4,3.9890938,3.75,2.75,1,1,1
225690,1516.543541666667,.34,2017,.05,4.079999998211861,.95999998,.5,2,2,4,1,1,1,6.3899999,6.4400001,6.0300002,0,0,1,1,0,1,1,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,1,1
225150,1516.543541666667,.5,2017,.44,4.189999997615814,.73000002,.5,2,2,1,1,3,1,5.6199999,6.48,6.6799998,1,1,1,0,1,0,0,0,0,0,1,4.6300001,3.9890938,3.75,2.75,0,1,1
225336,3164.960434782609,.50999999,2017,-1.39,4.019999995827675,.89999998,.25,1,2,4,1,1,1,6.2199998,6.1199999,6.0599999,0,0,1,1,0,0,0,0,0,0,1,2.6300001,3.9890938,3.75,2.75,1,1,1
225319,1181.728561151079,.60000002,2017,-.67,4.169999986886978,1.03,.25,2,2,4,1,1,1,7.5700002,7.4699998,7.77,0,0,1,1,0,1,1,0,0,0,1,3.5,3.9890938,3.75,2.75,1,1,1
225059,2933.219107142857,.62,2017,.28,3.969999998807907,.83999997,.25,2,2,4,1,1,1,6.6700001,7.6999998,7.4499998,0,0,0,1,0,0,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
225543,882.3526060606061,.5,2017,.24,4.139999985694885,.63999999,.25,1,2,4,1,1,1,7.9200001,8.0799999,8.1300001,0,0,1,1,0,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225628,735.3796412556054,.31999999,2017,-.06,4.189999997615814,.68000001,.5,2,2,3,0,2,1,7.8400002,7.8499999,7.6500001,0,0,0,1,0,1,1,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,1,0
225958,735.3796412556054,.57999998,2017,-.09,4.089999988675117,.94999999,.25,2,2,4,1,1,1,7.4200001,7.5599999,7.5,0,0,0,1,0,1,1,0,0,0,1,4,3.9890938,3.75,2.75,1,1,1
225231,1358.108130841121,.60000002,2016,.18,3.569999992847443,1.03,.25,2,2,4,1,1,1,6.4499998,7.1500001,7.3099999,0,0,1,1,0,0,0,0,0,1,0,3.75,3.6166666,4.5,3.75,1,1,1
225309,1623.66,.63,2017,.4,4.099999994039536,.74000001,.5,2,2,2,0,2,1,6.1700001,6,6.1399999,1,1,1,1,0,0,1,0,0,0,1,4.5,3.9890938,3.75,2.75,1,0,1
225388,882.3526060606061,.22,2017,.19,4.189999997615814,.80000001,.5,2,2,3,0,1,1,7.5,7.4899998,7.3899999,0,0,1,0,0,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,0
225175,1516.543541666667,.50999999,2017,.1,4.029999986290932,.89999998,.25,2,2,2,0,1,1,8.1800003,8,7.98,1,0,1,0,0,1,1,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,0,1
225478,1181.728561151079,.52999997,2017,-.16,4.159999996423721,.97000003,.25,2,2,4,1,3,1,6.6999998,6.8800001,7.3699999,0,1,0,1,0,1,1,0,0,0,1,4,3.9890938,3.75,2.75,1,1,1
226017,1785.437717391305,.46000001,2017,-1.4,4.029999986290932,.5,.5,2,2,4,1,3,1,8.04,7.6999998,7.8699999,0,0,1,1,1,0,1,0,0,0,1,2.6299999,3.9890938,3.75,2.75,1,1,1
225622,1516.543541666667,.34999999,2017,-1.5,4.299999997019768,.91000003,.25,1,1,4,1,2,1,7.4299998,7.3899999,7.7199998,0,0,1,1,0,1,1,0,0,0,1,2.8,3.9890938,3.75,2.75,1,1,1
226173,1181.728561151079,.57999998,2017,.44,4.189999997615814,.89999998,.5,2,2,2,0,2,1,6.5799999,6.73,4.7399998,1,0,0,0,0,1,0,0,0,0,1,4.6300001,3.9890938,3.75,2.75,1,0,1
225950,621.0152564102565,.70999998,2017,-.1,4.099999994039536,.64999998,.5,2,2,3,0,1,1,7.1399999,7.0500002,6.9200001,0,1,1,1,0,1,1,0,0,0,1,4,3.9890938,3.75,2.75,1,1,0
225657,735.3796412556054,.61000001,2017,-.05,4.299999997019768,.95999998,.5,2,2,4,1,1,1,7.3400002,7.5100002,7.5300002,0,0,1,1,0,1,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
226058,1181.728561151079,.52999997,2017,.29,4.209999993443489,.62,.5,2,2,4,1,1,1,6.6399999,7.23,6.75,0,1,0,0,0,1,1,0,0,0,1,4.5,3.9890938,3.75,2.75,1,1,1
225905,1785.437717391305,.40000001,2017,.66,4.089999988675117,.91000003,.5,2,2,2,0,3,3,7.96,8.1800003,8.0900002,1,0,1,0,0,1,1,0,0,0,1,4.75,3.9890938,3.75,2.75,1,0,1
225873,3164.960434782609,.41999999,2017,-.35,4.229999989271164,.85000002,.25,2,2,4,1,3,2,7.4299998,7.73,7.7600002,0,0,1,1,1,0,1,0,0,0,1,3.8799999,3.9890938,3.75,2.75,1,1,1
225827,621.0152564102565,.44999999,2017,.35,4.029999986290932,.68000001,.5,2,2,4,1,1,1,7.3800001,7.5,7.2199998,0,0,1,0,1,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225180,621.0152564102565,.56999999,2017,.21,4.169999986886978,.77999997,.5,2,2,4,1,1,1,8.1199999,7.7399998,8.21,0,0,1,0,1,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225239,882.3526060606061,.38999999,2017,.11,4.019999995827675,.89999998,.25,2,2,4,1,2,2,8.2200003,7.9699998,8.1099997,0,0,1,0,1,0,1,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,1,1
225936,882.3526060606061,.63999999,2017,-.22,4.099999994039536,.74000001,.25,2,2,4,1,3,1,7.25,7.3400002,7.5999999,0,1,1,1,0,1,0,0,0,0,1,3.8799999,3.9890938,3.75,2.75,1,1,1
225488,1358.108130841121,.28999999,2017,.35,4.029999986290932,.85000002,.5,2,1,4,1,2,1,7.1100001,7.1399999,7.5300002,0,0,0,0,0,1,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225509,735.3796412556054,.63,2017,-.72,4.099999994039536,.89999998,.75,1,2,4,1,2,1,8.2700005,8.2399998,8.25,0,0,0,1,0,1,1,0,0,0,1,3.3799999,3.9890938,3.75,2.75,1,1,1
225863,1358.108130841121,.47,2017,.21,4.169999986886978,.80000001,.25,2,2,4,1,1,1,7.2199998,7.3200002,7.9000001,0,1,1,0,1,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225749,1358.108130841121,.44999999,2017,.51,4.11999998986721,.75,.5,2,2,4,1,4,1,7.4299998,7.0500002,7.5300002,0,1,1,0,1,0,1,0,0,0,1,4.6300001,3.9890938,3.75,2.75,1,1,1
225674,735.3796412556054,.5,2017,.03,4.099999994039536,.94,.5,2,2,3,0,3,1,7.6700001,6.9499998,8.1300001,0,0,0,0,0,0,0,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,1,0
