nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,i_open,considerations,applications,score_0,i_close_0,score_1,i_close_1,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate
201756,1028.749258064516,.43000001,2013,1.5,3.419999994337559,.80000001,.25,2,2,0,1,1,7.21,0,6.6599998,1,1,0,0,1,0,1,0,0,0,0,0,4.9200001
200254,1028.749258064516,.55000001,2013,-.01,4.389999985694885,.74000001,.25,2,2,1,2,1,7.9299998,0,8.0200005,0,0,1,0,0,0,1,1,0,0,0,0,4.3800001
203693,1437.587274774775,.46000001,2013,-1,4.5,.60000002,.25,2,2,0,2,1,7.6900001,0,7.6100001,0,0,0,0,0,1,0,1,0,0,0,0,3.5
200639,1905.339552238806,.36000001,2013,.07,3.309999994933605,.95999998,.5,2,2,0,1,1,6.3699999,0,7.1500001,0,0,0,0,0,0,0,1,0,0,0,0,3.3799999
201177,1028.749258064516,.64999998,2013,.12,3.509999997913837,.52999997,.25,2,2,0,1,1,7.73,0,7.8000002,0,0,0,0,0,0,0,0,0,0,0,0,3.6300001
203934,1706.654411764706,.41999999,2013,.24,3.509999997913837,1.02,.5,2,2,1,2,1,6.0799999,0,6.3099999,0,0,0,0,0,0,0,1,0,0,0,0,3.75
201038,1028.749258064516,.61000001,2013,.35,4.399999991059303,.66000003,.5,2,2,1,3,2,6.2800002,0,6.1399999,0,0,1,0,0,0,0,1,0,0,0,0,4.75
201217,1905.339552238806,.34,2013,.84,3.53999999910593,1,.5,2,2,1,1,1,8.1199999,0,8.1700001,0,0,1,1,0,0,0,1,0,0,0,0,4.3800001
202067,1437.587274774775,.34999999,2013,.2,3.429999999701977,.72000003,.5,2,2,0,2,2,8,0,7.8699999,0,0,1,0,0,0,1,1,0,0,0,0,3.6300001
203611,1383.067621722846,.37,2013,.25,4.129999995231628,1,.25,2,1,1,1,1,6.6799998,0,6.48,0,0,0,1,1,0,0,0,0,0,0,0,4.3800001
202345,1905.339552238806,.58999997,2013,-.96,4.459999993443489,.95999998,.5,2,2,0,1,1,5.5,0,6.5300002,0,0,0,1,1,0,0,0,0,0,0,0,3.5
203923,3025.065165876777,.37,2013,.79,3.589999996125698,.67000002,.5,2,2,0,1,1,6.6399999,0,7.2600002,0,0,1,1,0,0,0,0,0,0,0,0,4.3800001
201438,2677.617101449275,.31999999,2013,.33,3.419999994337559,.91000003,.5,2,2,0,1,1,6.0500002,0,6.0500002,0,0,0,1,1,0,0,0,0,0,0,0,3.75
200097,1437.587274774775,.33000001,2013,-.26,3.509999997913837,.97000003,.25,2,1,1,2,1,8.1099997,0,7.4899998,0,0,0,0,1,0,1,1,0,0,0,0,3.25
200735,1706.654411764706,.25,2013,-.15,3.529999993741512,.87,.25,1,1,1,1,1,7.5799999,0,7.5500002,0,0,0,0,0,0,1,1,0,0,0,0,3.3799999
204601,1706.654411764706,.34999999,2013,.26,3.369999997317791,.89999998,.25,2,1,0,2,1,7.6700001,0,7.6199999,0,0,0,0,0,0,1,1,0,0,0,0,3.6300001
204600,1706.654411764706,.52999997,2013,.84,3.53999999910593,.74000001,.5,2,2,1,3,1,6.8099999,0,7.1199999,0,0,1,0,0,0,0,1,0,0,0,0,4.3800001
204595,3025.065165876777,.47999999,2013,-.5,3.379999995231628,.86000001,.75,1,2,0,2,1,6.6500001,0,6.4699998,0,0,1,0,1,0,1,0,0,0,0,0,2.8800001
204558,1706.654411764706,.30000001,2013,.18,4.569999992847443,1.01,.25,2,1,1,1,1,6.6700001,0,6.5500002,0,0,0,0,1,0,0,1,0,0,0,0,4.75
203679,1028.749258064516,.54000002,2013,.21,3.419999994337559,.76999998,.25,2,2,0,1,1,7.71,0,7.3800001,0,0,0,0,0,0,0,0,0,0,0,0,3.6299999
204081,1028.749258064516,.69,2013,-.14,3.519999995827675,1.02,.25,2,1,1,3,1,8.1800003,0,8.1700001,0,0,0,1,1,0,1,0,0,0,0,0,3.3800001
204467,1028.749258064516,.73000002,2013,.33,3.419999994337559,1.03,.25,2,1,0,1,1,6.8099999,0,5.48,0,0,0,0,1,0,0,0,0,0,0,0,3.75
